"","year","removed_access_0","removed_access_1","removed_excluded_0","removed_excluded_1","replaced_access_0","replaced_excluded_0","site"
"1","2019",8,4,15,4,7,5,NA
"2","2020",8,1,0,0,10,0,NA
"3","2021",12,1,0,0,16,0,NA
"4","2022",14,4,14,3,18,24,NA
"5",NA,2,1,2,0,3,4,"CK"
"6",NA,13,5,21,6,13,12,"CP"
"7",NA,4,2,5,1,6,11,"GH"
"8",NA,8,1,0,0,10,0,"MS"
"9",NA,15,1,1,0,19,2,"PR"
