"LRT_models","Df","AIC","BIC","logLik","deviance","Chisq","Chi.Df","Pr..Chisq."
"Null model",2,113.828923257312,120.076851216119,-54.914461628656,109.828923257312,NA,NA,NA
"Site",5,114.381418034665,130.001237931681,-52.1907090173323,104.381418034665,5.44750522264746,3,0.141812318061276
"Year + Site",8,119.376124606313,144.367836441539,-51.6880623031567,103.376124606313,1.00529342835122,3,0.799971105190805
"Phloem-feeders",9,100.294633497542,128.410309312172,-41.1473167487711,82.2946334975422,21.0814911087712,1,4.40159183948985e-06
"Phloem-feeders + Ants",10,101.267866188953,132.507505982985,-40.6339330944764,81.2678661889528,1.0267673085894,1,0.310919145106442
"Phloem-feeders x Ants",11,103.26786620183,137.631469975266,-40.6339331009149,81.2678662018298,0,1,1
